"","KO","names","Pathway"
"125","K00148","glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]","Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation"
"126","K00149","aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
"127","K00150","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms"
"128","K00151","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]","Metabolism; Amino acid metabolism; Tyrosine metabolism"
"129","K00152","salicylaldehyde dehydrogenase [EC:1.2.1.65]","Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation"
"130","K00153","S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"131","K00154","coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"132","K00156","pyruvate dehydrogenase (quinone) [EC:1.2.5.1]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"133","K00157","aldehyde oxidase [EC:1.2.3.1]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism | Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Environmental Information Processing; Signal transduction; Jak-STAT signaling pathway"
"134","K00158","pyruvate oxidase [EC:1.2.3.3]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"135","K00161","pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Organismal Systems; Endocrine system; Glucagon signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer"
"136","K00162","pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Organismal Systems; Endocrine system; Glucagon signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer"
"137","K00163","pyruvate dehydrogenase E1 component [EC:1.2.4.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"138","K00164","2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tryptophan metabolism"
"139","K00166","2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"140","K00167","2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"141","K00169","pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation"
"142","K00170","pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation"
"143","K00171","pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation"
"144","K00172","pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation"
"145","K00174","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes"
"146","K00175","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes"
"147","K00176","2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes"
"148","K00177","2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes"
"149","K00179","indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"150","K00180","indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"151","K00183","prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"152","K00184","prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"153","K00185","prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"154","K00186","2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"155","K00187","2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"156","K00196","anaerobic carbon-monoxide dehydrogenase iron sulfur subunit","Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation"
"157","K00198","anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]","Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation"
"158","K00200","formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]","Metabolism; Energy metabolism; Methane metabolism"
"159","K00201","formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]","Metabolism; Energy metabolism; Methane metabolism"
"160","K00202","formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]","Metabolism; Energy metabolism; Methane metabolism"
"161","K00207","dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes"
"162","K00208","enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]","Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins"
"163","K00209","enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Fatty acid biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins"
"164","K00210","prephenate dehydrogenase [EC:1.3.1.12]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis"
"165","K00211","prephenate dehydrogenase (NADP+) [EC:1.3.1.13]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
"166","K00214","biliverdin reductase [EC:1.3.1.24]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"167","K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]","Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"168","K00216","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides"
"169","K00217","maleylacetate reductase [EC:1.3.1.32]","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation"
"170","K00218","protochlorophyllide reductase [EC:1.3.1.33]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"171","K00219","2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"172","K00220","cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis"
"173","K00221","alkylmercury lyase [EC:4.99.1.2]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"174","K00222","Delta14-sterol reductase [EC:1.3.1.70]","Metabolism; Lipid metabolism; Steroid biosynthesis"
"175","K00225","L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]","Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism"
"176","K00226","dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"177","K00227","Delta7-sterol 5-desaturase [EC:1.14.19.20]","Metabolism; Lipid metabolism; Steroid biosynthesis"
"178","K00228","coproporphyrinogen III oxidase [EC:1.3.3.3]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"179","K00230","menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"180","K00231","protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"181","K00232","acyl-CoA oxidase [EC:1.3.3.6]","Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; alpha-Linolenic acid metabolism | Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids | Environmental Information Processing; Signal transduction; cAMP signaling pathway | Cellular Processes; Transport and catabolism; Peroxisome | Organismal Systems; Endocrine system; PPAR signaling pathway"
"182","K00234","succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Oxidative phosphorylation | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Neurodegenerative diseases; Parkinson disease | Human Diseases; Neurodegenerative diseases; Huntington disease | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD)"
"183","K00239","succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Human Diseases; Infectious diseases: Bacterial; Legionellosis"
"184","K00240","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes"
"185","K00241","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes"
